group	colour	fill	tooltip
174	#000000	#FFE8E0	8 combos with Area under both=1, Area under ROC curve=0.75 for size 1
175	#000000	#FFF9F7	2 combos with Area under both=1, Area under ROC curve=0.8333 for size 1
176	#FFFFFF	#FFFFFF	0 combos with Area under both=1, Area under ROC curve=0.9167 for size 1
177	#FFFFFF	#FFFFFF	0 combos with Area under both=1.4, Area under ROC curve=0.8333 for size 1
178	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Area under ROC curve=0.3333 for size 1
179	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Area under ROC curve=0.5 for size 1
180	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Area under ROC curve=0.6667 for size 1
181	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Area under ROC curve=0.8333 for size 1
182	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Area under ROC curve=1 for size 1
183	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Area under ROC curve=1.0833 for size 1
184	#FFFFFF	#FFFFFF	0 combos with Area under both=1.8, Area under ROC curve=0.25 for size 1
185	#FFFFFF	#FFFFFF	0 combos with Area under both=1.8, Area under ROC curve=0.3333 for size 1
186	#FFFFFF	#FFFFFF	0 combos with Area under both=1.8, Area under ROC curve=0.4167 for size 1
187	#FFFFFF	#FFFFFF	0 combos with Area under both=1.8, Area under ROC curve=0.5 for size 1
188	#FFFFFF	#FFFFFF	0 combos with Area under both=1.8, Area under ROC curve=0.5833 for size 1
189	#000000	#FFE8E0	8 combos with Area under both=1.8, Area under ROC curve=0.6667 for size 1
190	#000000	#FFD1C2	16 combos with Area under both=1.8, Area under ROC curve=0.75 for size 1
191	#000000	#FFE8E0	8 combos with Area under both=1.8, Area under ROC curve=0.8333 for size 1
192	#FFFFFF	#FFFFFF	0 combos with Area under both=1.8, Area under ROC curve=0.9167 for size 1
193	#FFFFFF	#FFFFFF	0 combos with Area under both=1.8, Area under ROC curve=1 for size 1
194	#FFFFFF	#FFFFFF	0 combos with Area under both=1.8, Area under ROC curve=1.0833 for size 1
195	#FFFFFF	#FFFFFF	0 combos with Area under both=1.8, Area under ROC curve=1.1667 for size 1
196	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Area under ROC curve=0.5833 for size 1
197	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Area under ROC curve=0.6667 for size 1
198	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Area under ROC curve=0.75 for size 1
199	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Area under ROC curve=0.8333 for size 1
200	#FFFFFF	#FFFFFF	0 combos with Area under both=2.2, Area under ROC curve=0.3333 for size 1
201	#000000	#FFF9F7	2 combos with Area under both=2.2, Area under ROC curve=0.5 for size 1
202	#000000	#FFE8E0	8 combos with Area under both=2.2, Area under ROC curve=0.5833 for size 1
203	#000000	#FFDDD1	12 combos with Area under both=2.2, Area under ROC curve=0.6667 for size 1
204	#000000	#FFE8E0	8 combos with Area under both=2.2, Area under ROC curve=0.75 for size 1
205	#000000	#FFF6F3	3 combos with Area under both=2.2, Area under ROC curve=0.8333 for size 1
206	#FFFFFF	#FFFFFF	0 combos with Area under both=2.2, Area under ROC curve=0.9167 for size 1
207	#FFFFFF	#FFFFFF	0 combos with Area under both=2.4, Area under ROC curve=0.25 for size 1
208	#FFFFFF	#FFFFFF	0 combos with Area under both=2.4, Area under ROC curve=0.3333 for size 1
209	#FFFFFF	#FFFFFF	0 combos with Area under both=2.4, Area under ROC curve=0.4167 for size 1
210	#FFFFFF	#FFFFFF	0 combos with Area under both=2.4, Area under ROC curve=0.5 for size 1
211	#FFFFFF	#FFFFFF	0 combos with Area under both=2.4, Area under ROC curve=0.5833 for size 1
212	#000000	#FFF9F7	2 combos with Area under both=2.4, Area under ROC curve=0.6667 for size 1
213	#000000	#FFF4EF	4 combos with Area under both=2.4, Area under ROC curve=0.75 for size 1
214	#000000	#FFFCFB	1 combos with Area under both=2.4, Area under ROC curve=0.8333 for size 1
215	#FFFFFF	#FFFFFF	0 combos with Area under both=2.6, Area under ROC curve=0.1667 for size 1
216	#FFFFFF	#FFFFFF	0 combos with Area under both=2.6, Area under ROC curve=0.25 for size 1
217	#000000	#FFF9F7	2 combos with Area under both=2.6, Area under ROC curve=0.3333 for size 1
218	#000000	#FFF4EF	4 combos with Area under both=2.6, Area under ROC curve=0.4167 for size 1
219	#000000	#FFEEE8	6 combos with Area under both=2.6, Area under ROC curve=0.5 for size 1
220	#000000	#FFE8E0	8 combos with Area under both=2.6, Area under ROC curve=0.5833 for size 1
221	#000000	#FFF4EF	4 combos with Area under both=2.6, Area under ROC curve=0.6667 for size 1
