x	y	key	showSelected2	PANEL
0.4	1.1667	1	round.aum round.auc 0.4 1.1667	4
0.6	0.4167	1	round.aum round.auc 0.6 0.4167	4
0.6	0.5	1	round.aum round.auc 0.6 0.5	4
0.6	0.5833	1	round.aum round.auc 0.6 0.5833	4
0.6	0.6667	1	round.aum round.auc 0.6 0.6667	4
0.6	0.75	1	round.aum round.auc 0.6 0.75	4
0.6	0.8333	1	round.aum round.auc 0.6 0.8333	4
0.6	0.9167	1	round.aum round.auc 0.6 0.9167	4
0.6	1	1	round.aum round.auc 0.6 1	4
0.6	1.0833	1	round.aum round.auc 0.6 1.0833	4
0.6	1.1667	1	round.aum round.auc 0.6 1.1667	4
0.8	0.5	1	round.aum round.auc 0.8 0.5	4
0.8	0.5833	1	round.aum round.auc 0.8 0.5833	4
0.8	0.6667	1	round.aum round.auc 0.8 0.6667	4
0.8	0.75	1	round.aum round.auc 0.8 0.75	4
0.8	0.8333	1	round.aum round.auc 0.8 0.8333	4
0.8	0.9167	1	round.aum round.auc 0.8 0.9167	4
0.8	1	1	round.aum round.auc 0.8 1	4
1	0.3333	1	round.aum round.auc 1 0.3333	4
1	0.4167	1	round.aum round.auc 1 0.4167	4
1	0.5	1	round.aum round.auc 1 0.5	4
1	0.5833	1	round.aum round.auc 1 0.5833	4
1	0.6667	1	round.aum round.auc 1 0.6667	4
1	0.75	1	round.aum round.auc 1 0.75	4
1	0.8333	1	round.aum round.auc 1 0.8333	4
1	0.9167	1	round.aum round.auc 1 0.9167	4
1.4	0.8333	1	round.aum round.auc 1.4 0.8333	4
1.6	0.3333	1	round.aum round.auc 1.6 0.3333	4
1.6	0.5	1	round.aum round.auc 1.6 0.5	4
1.6	0.6667	1	round.aum round.auc 1.6 0.6667	4
1.6	0.8333	1	round.aum round.auc 1.6 0.8333	4
1.6	1	1	round.aum round.auc 1.6 1	4
1.6	1.0833	1	round.aum round.auc 1.6 1.0833	4
1.8	0.25	1	round.aum round.auc 1.8 0.25	4
1.8	0.3333	1	round.aum round.auc 1.8 0.3333	4
1.8	0.4167	1	round.aum round.auc 1.8 0.4167	4
1.8	0.5	1	round.aum round.auc 1.8 0.5	4
1.8	0.5833	1	round.aum round.auc 1.8 0.5833	4
1.8	0.6667	1	round.aum round.auc 1.8 0.6667	4
1.8	0.75	1	round.aum round.auc 1.8 0.75	4
1.8	0.8333	1	round.aum round.auc 1.8 0.8333	4
1.8	0.9167	1	round.aum round.auc 1.8 0.9167	4
1.8	1	1	round.aum round.auc 1.8 1	4
1.8	1.0833	1	round.aum round.auc 1.8 1.0833	4
1.8	1.1667	1	round.aum round.auc 1.8 1.1667	4
2	0.5833	1	round.aum round.auc 2 0.5833	4
2	0.6667	1	round.aum round.auc 2 0.6667	4
2	0.75	1	round.aum round.auc 2 0.75	4
2	0.8333	1	round.aum round.auc 2 0.8333	4
2.2	0.3333	1	round.aum round.auc 2.2 0.3333	4
2.2	0.5	1	round.aum round.auc 2.2 0.5	4
2.2	0.5833	1	round.aum round.auc 2.2 0.5833	4
2.2	0.6667	1	round.aum round.auc 2.2 0.6667	4
2.2	0.75	1	round.aum round.auc 2.2 0.75	4
2.2	0.8333	1	round.aum round.auc 2.2 0.8333	4
2.2	0.9167	1	round.aum round.auc 2.2 0.9167	4
2.4	0.25	1	round.aum round.auc 2.4 0.25	4
2.4	0.3333	1	round.aum round.auc 2.4 0.3333	4
2.4	0.4167	1	round.aum round.auc 2.4 0.4167	4
2.4	0.5	1	round.aum round.auc 2.4 0.5	4
2.4	0.5833	1	round.aum round.auc 2.4 0.5833	4
2.4	0.6667	1	round.aum round.auc 2.4 0.6667	4
2.4	0.75	1	round.aum round.auc 2.4 0.75	4
2.4	0.8333	1	round.aum round.auc 2.4 0.8333	4
2.6	0.1667	1	round.aum round.auc 2.6 0.1667	4
2.6	0.25	1	round.aum round.auc 2.6 0.25	4
2.6	0.3333	1	round.aum round.auc 2.6 0.3333	4
2.6	0.4167	1	round.aum round.auc 2.6 0.4167	4
2.6	0.5	1	round.aum round.auc 2.6 0.5	4
2.6	0.5833	1	round.aum round.auc 2.6 0.5833	4
2.6	0.6667	1	round.aum round.auc 2.6 0.6667	4
