x	y	key	clickSelects	PANEL
0.875	0.25	prop.finite round.auc 0.875 0.25	prop.finite round.auc 0.875 0.25	3
0.875	0.3333	prop.finite round.auc 0.875 0.3333	prop.finite round.auc 0.875 0.3333	3
0.875	0.4167	prop.finite round.auc 0.875 0.4167	prop.finite round.auc 0.875 0.4167	3
0.875	0.5	prop.finite round.auc 0.875 0.5	prop.finite round.auc 0.875 0.5	3
0.875	0.5833	prop.finite round.auc 0.875 0.5833	prop.finite round.auc 0.875 0.5833	3
0.875	0.6667	prop.finite round.auc 0.875 0.6667	prop.finite round.auc 0.875 0.6667	3
0.875	0.75	prop.finite round.auc 0.875 0.75	prop.finite round.auc 0.875 0.75	3
1	0.3333	prop.finite round.auc 1 0.3333	prop.finite round.auc 1 0.3333	3
0	0.8333	round.aum round.auc 0 0.8333	round.aum round.auc 0 0.8333	4
0	1	round.aum round.auc 0 1	round.aum round.auc 0 1	4
0.2	0.5	round.aum round.auc 0.2 0.5	round.aum round.auc 0.2 0.5	4
0.2	0.6667	round.aum round.auc 0.2 0.6667	round.aum round.auc 0.2 0.6667	4
0.2	0.75	round.aum round.auc 0.2 0.75	round.aum round.auc 0.2 0.75	4
0.2	0.8333	round.aum round.auc 0.2 0.8333	round.aum round.auc 0.2 0.8333	4
0.2	0.9167	round.aum round.auc 0.2 0.9167	round.aum round.auc 0.2 0.9167	4
0.2	1	round.aum round.auc 0.2 1	round.aum round.auc 0.2 1	4
0.2	1.0833	round.aum round.auc 0.2 1.0833	round.aum round.auc 0.2 1.0833	4
0.4	0.4167	round.aum round.auc 0.4 0.4167	round.aum round.auc 0.4 0.4167	4
0.4	0.5	round.aum round.auc 0.4 0.5	round.aum round.auc 0.4 0.5	4
0.4	0.5833	round.aum round.auc 0.4 0.5833	round.aum round.auc 0.4 0.5833	4
0.4	0.6667	round.aum round.auc 0.4 0.6667	round.aum round.auc 0.4 0.6667	4
0.4	0.75	round.aum round.auc 0.4 0.75	round.aum round.auc 0.4 0.75	4
0.4	0.8333	round.aum round.auc 0.4 0.8333	round.aum round.auc 0.4 0.8333	4
0.4	0.9167	round.aum round.auc 0.4 0.9167	round.aum round.auc 0.4 0.9167	4
0.4	1.0833	round.aum round.auc 0.4 1.0833	round.aum round.auc 0.4 1.0833	4
0.4	1.1667	round.aum round.auc 0.4 1.1667	round.aum round.auc 0.4 1.1667	4
0.6	0.4167	round.aum round.auc 0.6 0.4167	round.aum round.auc 0.6 0.4167	4
0.6	0.5	round.aum round.auc 0.6 0.5	round.aum round.auc 0.6 0.5	4
0.6	0.5833	round.aum round.auc 0.6 0.5833	round.aum round.auc 0.6 0.5833	4
0.6	0.6667	round.aum round.auc 0.6 0.6667	round.aum round.auc 0.6 0.6667	4
0.6	0.75	round.aum round.auc 0.6 0.75	round.aum round.auc 0.6 0.75	4
0.6	0.8333	round.aum round.auc 0.6 0.8333	round.aum round.auc 0.6 0.8333	4
0.6	0.9167	round.aum round.auc 0.6 0.9167	round.aum round.auc 0.6 0.9167	4
0.6	1	round.aum round.auc 0.6 1	round.aum round.auc 0.6 1	4
0.6	1.0833	round.aum round.auc 0.6 1.0833	round.aum round.auc 0.6 1.0833	4
0.6	1.1667	round.aum round.auc 0.6 1.1667	round.aum round.auc 0.6 1.1667	4
0.8	0.5	round.aum round.auc 0.8 0.5	round.aum round.auc 0.8 0.5	4
0.8	0.5833	round.aum round.auc 0.8 0.5833	round.aum round.auc 0.8 0.5833	4
0.8	0.6667	round.aum round.auc 0.8 0.6667	round.aum round.auc 0.8 0.6667	4
0.8	0.75	round.aum round.auc 0.8 0.75	round.aum round.auc 0.8 0.75	4
